<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
MOEX.SBER:SMAL,60,23/06/22,14:00:00,136.7800000,137.4800000,136.7800000,137.4800000,6
MOEX.SBER:SMAL,60,23/06/22,16:00:00,138.2700000,138.2700000,138.2700000,138.2700000,4
MOEX.SBER:SMAL,60,23/06/22,17:00:00,137.1000000,137.1000000,137.1000000,137.1000000,1
MOEX.SBER:SMAL,60,23/06/22,18:00:00,135.8000000,135.8000000,135.8000000,135.8000000,1
MOEX.SBER:SMAL,60,24/06/22,11:00:00,136.4000000,137.0000000,136.4000000,136.4000000,11
MOEX.SBER:SMAL,60,24/06/22,13:00:00,137.0000000,137.0000000,137.0000000,137.0000000,1
MOEX.SBER:SMAL,60,24/06/22,16:00:00,136.7800000,136.7800000,136.0000000,136.0000000,5
MOEX.SBER:SMAL,60,24/06/22,17:00:00,137.1900000,137.1900000,137.1900000,137.1900000,2
MOEX.SBER:SMAL,60,24/06/22,19:00:00,137.0000000,137.3100000,135.5100000,137.3100000,10
MOEX.SBER:SMAL,60,27/06/22,11:00:00,138.4900000,138.4900000,138.4900000,138.4900000,1
MOEX.SBER:SMAL,60,27/06/22,12:00:00,139.8700000,140.0000000,139.6500000,139.6500000,8
MOEX.SBER:SMAL,60,27/06/22,13:00:00,139.5500000,140.4100000,139.5500000,140.4100000,19
MOEX.SBER:SMAL,60,27/06/22,14:00:00,140.0000000,141.9500000,140.0000000,140.0500000,7
MOEX.SBER:SMAL,60,27/06/22,15:00:00,140.5000000,140.5000000,140.5000000,140.5000000,1
MOEX.SBER:SMAL,60,27/06/22,16:00:00,141.0900000,141.9500000,141.0900000,141.9500000,5
MOEX.SBER:SMAL,60,27/06/22,19:00:00,141.3900000,141.3900000,141.3900000,141.3900000,7
MOEX.SBER:SMAL,60,28/06/22,12:00:00,139.5000000,139.5000000,135.5000000,137.7300000,115
MOEX.SBER:SMAL,60,28/06/22,13:00:00,137.9900000,137.9900000,137.2400000,137.2400000,7
MOEX.SBER:SMAL,60,28/06/22,15:00:00,139.5000000,139.5000000,139.5000000,139.5000000,1
MOEX.SBER:SMAL,60,28/06/22,16:00:00,140.0000000,140.0000000,140.0000000,140.0000000,4
MOEX.SBER:SMAL,60,28/06/22,17:00:00,140.0000000,140.0000000,140.0000000,140.0000000,1
MOEX.SBER:SMAL,60,28/06/22,18:00:00,140.7000000,140.7000000,140.7000000,140.7000000,1
MOEX.SBER:SMAL,60,29/06/22,13:00:00,137.1100000,137.1100000,137.1100000,137.1100000,1
MOEX.SBER:SMAL,60,29/06/22,15:00:00,137.5000000,137.5000000,136.7100000,136.7100000,9
MOEX.SBER:SMAL,60,29/06/22,16:00:00,136.7000000,136.7000000,134.4600000,135.0000000,21
MOEX.SBER:SMAL,60,29/06/22,17:00:00,138.8700000,138.8700000,138.8700000,138.8700000,1
MOEX.SBER:SMAL,60,29/06/22,18:00:00,135.0400000,135.0400000,135.0000000,135.0000000,2
MOEX.SBER:SMAL,60,29/06/22,19:00:00,134.6000000,134.6000000,134.4900000,134.4900000,22
MOEX.SBER:SMAL,60,30/06/22,11:00:00,133.0100000,133.0100000,127.2800000,127.2800000,6
MOEX.SBER:SMAL,60,30/06/22,12:00:00,127.5000000,127.5000000,127.0000000,127.0000000,9
MOEX.SBER:SMAL,60,30/06/22,13:00:00,126.6700000,127.5000000,126.0100000,126.0100000,10
MOEX.SBER:SMAL,60,30/06/22,17:00:00,129.9900000,129.9900000,126.0100000,126.0100000,17
MOEX.SBER:SMAL,60,30/06/22,19:00:00,126.1000000,126.1000000,125.0000000,125.4900000,5
MOEX.SBER:SMAL,60,01/07/22,13:00:00,128.0000000,128.0000000,128.0000000,128.0000000,1
MOEX.SBER:SMAL,60,01/07/22,16:00:00,128.0300000,128.0300000,128.0300000,128.0300000,6
MOEX.SBER:SMAL,60,01/07/22,17:00:00,132.0000000,135.6300000,132.0000000,133.0000000,11
MOEX.SBER:SMAL,60,01/07/22,19:00:00,131.0000000,133.0000000,131.0000000,133.0000000,7
MOEX.SBER:SMAL,60,04/07/22,12:00:00,129.1700000,129.1700000,127.8300000,127.8300000,20
MOEX.SBER:SMAL,60,04/07/22,13:00:00,128.3300000,128.6700000,128.3300000,128.6700000,4
MOEX.SBER:SMAL,60,04/07/22,14:00:00,128.5700000,128.5700000,128.5400000,128.5400000,22
MOEX.SBER:SMAL,60,04/07/22,16:00:00,127.8800000,127.8800000,127.8100000,127.8100000,4
MOEX.SBER:SMAL,60,04/07/22,19:00:00,131.4000000,131.4000000,131.4000000,131.4000000,1
MOEX.SBER:SMAL,60,05/07/22,11:00:00,132.7800000,132.7800000,131.5200000,131.5200000,3
MOEX.SBER:SMAL,60,05/07/22,12:00:00,133.4000000,133.4000000,133.4000000,133.4000000,2
MOEX.SBER:SMAL,60,05/07/22,14:00:00,133.5100000,134.0600000,133.5100000,134.0600000,4
MOEX.SBER:SMAL,60,05/07/22,15:00:00,135.4200000,135.4200000,135.4200000,135.4200000,1
MOEX.SBER:SMAL,60,05/07/22,16:00:00,134.0900000,134.0900000,134.0900000,134.0900000,2
MOEX.SBER:SMAL,60,05/07/22,17:00:00,135.5100000,135.5100000,135.5100000,135.5100000,1
MOEX.SBER:SMAL,60,05/07/22,18:00:00,132.5500000,133.9000000,132.5500000,133.9000000,6
MOEX.SBER:SMAL,60,05/07/22,19:00:00,133.2000000,133.2000000,133.2000000,133.2000000,1
MOEX.SBER:SMAL,60,06/07/22,11:00:00,135.7900000,138.6300000,135.0000000,135.0000000,12
MOEX.SBER:SMAL,60,06/07/22,12:00:00,136.3000000,138.6300000,134.8200000,134.8200000,31
MOEX.SBER:SMAL,60,06/07/22,17:00:00,137.9900000,137.9900000,137.9900000,137.9900000,2
MOEX.SBER:SMAL,60,07/07/22,11:00:00,139.1600000,139.1600000,134.0000000,134.0000000,7
MOEX.SBER:SMAL,60,07/07/22,17:00:00,133.1200000,133.1200000,133.1200000,133.1200000,1
MOEX.SBER:SMAL,60,07/07/22,18:00:00,134.3000000,134.3000000,134.3000000,134.3000000,1
MOEX.SBER:SMAL,60,07/07/22,19:00:00,134.4800000,134.4800000,134.4800000,134.4800000,1
MOEX.SBER:SMAL,60,08/07/22,11:00:00,133.9900000,134.4900000,133.9900000,134.4900000,5
MOEX.SBER:SMAL,60,08/07/22,12:00:00,131.5400000,131.8000000,131.3200000,131.4000000,12
MOEX.SBER:SMAL,60,08/07/22,15:00:00,131.3800000,131.3800000,131.3800000,131.3800000,2
MOEX.SBER:SMAL,60,08/07/22,16:00:00,132.5000000,132.9800000,132.5000000,132.9800000,6
MOEX.SBER:SMAL,60,08/07/22,18:00:00,132.7900000,132.7900000,132.7900000,132.7900000,1
MOEX.SBER:SMAL,60,11/07/22,11:00:00,134.9800000,134.9800000,130.0500000,130.0500000,9
MOEX.SBER:SMAL,60,11/07/22,12:00:00,132.7800000,132.7800000,130.3100000,131.0100000,10
MOEX.SBER:SMAL,60,11/07/22,13:00:00,129.8300000,129.8300000,129.2800000,129.2800000,10
MOEX.SBER:SMAL,60,11/07/22,14:00:00,129.2700000,129.2700000,129.0100000,129.0100000,5
MOEX.SBER:SMAL,60,11/07/22,15:00:00,128.5200000,130.9800000,128.0000000,130.9800000,6
MOEX.SBER:SMAL,60,11/07/22,18:00:00,127.7000000,129.0000000,127.5500000,129.0000000,11
MOEX.SBER:SMAL,60,11/07/22,19:00:00,130.9700000,130.9700000,126.8800000,126.8800000,5
MOEX.SBER:SMAL,60,12/07/22,12:00:00,126.2500000,126.2500000,126.2500000,126.2500000,1
MOEX.SBER:SMAL,60,12/07/22,15:00:00,128.3400000,128.3400000,126.8000000,126.8000000,4
MOEX.SBER:SMAL,60,12/07/22,16:00:00,126.0900000,126.0900000,126.0900000,126.0900000,4
MOEX.SBER:SMAL,60,12/07/22,17:00:00,128.0000000,128.0000000,128.0000000,128.0000000,1
MOEX.SBER:SMAL,60,12/07/22,18:00:00,128.8900000,128.8900000,128.8900000,128.8900000,1
MOEX.SBER:SMAL,60,12/07/22,19:00:00,128.7100000,129.0100000,128.6000000,129.0100000,9
MOEX.SBER:SMAL,60,13/07/22,12:00:00,130.0700000,130.0700000,130.0700000,130.0700000,1
